"","year","month","carrier_name","total_delay","delay_carrier","delay_weather","delay_nas","delay_security","delay_late"
"284",2004,10,"American Eagle Airlines Inc.",3743.51401869159,917,242,1084,1,1499
"285",2004,10,"ATA Airlines d/b/a ATA",1223.46153846154,315,13,567,12,317
"286",2004,10,"Atlantic Southeast Airlines",2833.33980582524,871,606,1036,4,318
"287",2004,10,"Comair Inc.",2745.90476190476,1129,942,617,10,47
"288",2004,10,"Delta Air Lines Inc.",4580,1328,47,2032,2,1172
"289",2004,10,"ExpressJet Airlines Inc.",1875.71929824561,357,33,935,5,547
"290",2004,10,"Hawaiian Airlines Inc.",508.692307692308,326,2,0,41,140
"291",2004,10,"Independence Air",3371.88524590164,385,38,768,4,2177
"292",2004,10,"JetBlue Airways",1322.07407407407,336,44,574,20,348
"293",2004,10,"Northwest Airlines Inc.",2434.75862068966,997,117,973,6,342
"294",2004,10,"SkyWest Airlines Inc.",2071.79230769231,977,170,463,4,457
"295",2004,10,"Southwest Airlines Co.",11058.1333333333,2103,264,1695,38,6958
"296",2004,10,"United Air Lines Inc.",4175.18987341772,1047,61,1653,0,1415
"297",2004,10,"US Airways Inc.",4467.32258064516,1262,84,1498,0,1623
"298",2004,11,"AirTran Airways Corporation",4649.90243902439,530,9,1827,0,2284
"299",2004,11,"Alaska Airlines Inc.",4099.91111111111,1558,60,599,48,1834
"300",2004,11,"America West Airlines Inc.",3045.42307692308,1062,42,977,14,950
"301",2004,11,"American Airlines Inc.",7249.55555555556,1618,659,2608,43,2322
"302",2004,11,"American Eagle Airlines Inc.",4461.21153846154,1154,302,1313,2,1691
"303",2004,11,"ATA Airlines d/b/a ATA",1913.11538461538,376,12,865,80,580
"304",2004,11,"Atlantic Southeast Airlines",3437.25688073394,970,885,1168,7,408
"305",2004,11,"Comair Inc.",2259.99099099099,1144,543,533,4,36
"306",2004,11,"Continental Air Lines Inc.",3857.85526315789,650,237,2016,11,944
"307",2004,11,"Delta Air Lines Inc.",6238.0202020202,1555,146,2546,7,1985
"308",2004,11,"ExpressJet Airlines Inc.",3549.89908256881,576,250,1577,12,1135
"309",2004,11,"Hawaiian Airlines Inc.",932.230769230769,596,10,22,6,299
"310",2004,11,"JetBlue Airways",1290.33333333333,359,28,454,41,408
"311",2004,11,"Northwest Airlines Inc.",2262.73214285714,938,208,784,7,325
"312",2004,11,"SkyWest Airlines Inc.",2471.20168067227,1063,348,563,6,491
"313",2004,11,"Southwest Airlines Co.",11685.9166666667,2023,516,1797,48,7302
"314",2004,11,"United Air Lines Inc.",4933.71794871795,1134,107,2004,0,1689
"315",2004,11,"US Airways Inc.",5290.96774193548,1385,56,1722,0,2128
"316",2004,12,"AirTran Airways Corporation",5170.97619047619,768,73,1740,0,2589
"317",2004,12,"Alaska Airlines Inc.",6228.57777777778,2375,110,697,15,3032
"318",2004,12,"America West Airlines Inc.",3928.23529411765,1286,73,1253,33,1284
"319",2004,12,"American Airlines Inc.",10348.6428571429,2509,1031,3226,70,3513
"320",2004,12,"American Eagle Airlines Inc.",5912.8,1420,368,1684,2,2439
"321",2004,12,"ATA Airlines d/b/a ATA",2900.5,611,12,1274,28,976
"322",2004,12,"Continental Air Lines Inc.",4019.84810126582,766,273,1911,36,1034
"323",2004,12,"Delta Air Lines Inc.",6864.55238095238,2149,291,2264,11,2150
"324",2004,12,"ExpressJet Airlines Inc.",4693.38938053097,732,327,1899,13,1723
"325",2004,12,"Hawaiian Airlines Inc.",733.461538461538,590,7,13,4,119
"326",2004,12,"Independence Air",7018.775,670,87,1131,8,5123
"327",2004,12,"JetBlue Airways",4515.85714285714,1133,129,1134,71,2049
"328",2004,12,"Northwest Airlines Inc.",4274.49572649573,1633,385,1378,9,870
"329",2004,12,"SkyWest Airlines Inc.",4562.24576271186,1881,554,1102,10,1016
"330",2004,12,"Southwest Airlines Co.",17387.6,3582,469,2231,86,11020
"331",2004,12,"United Air Lines Inc.",6735.33734939759,1920,122,2332,2,2359
"332",2004,12,"US Airways Inc.",9329.08196721311,2675,155,2656,0,3843
"333",2005,1,"AirTran Airways Corporation",5950.47619047619,1027,275,1861,0,2787
"334",2005,1,"Alaska Airlines Inc.",3829.24444444444,1480,120,602,19,1609
"335",2005,1,"America West Airlines Inc.",3704.98039215686,1224,68,1201,25,1188
"336",2005,1,"American Airlines Inc.",10051.5952380952,2501,1130,3296,11,3113
"337",2005,1,"American Eagle Airlines Inc.",6061.43269230769,1440,406,1962,2,2252
"338",2005,1,"ATA Airlines d/b/a ATA",2377.40740740741,379,65,1256,13,665
